method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
grpo,7b,23,8,5,8.0,True,True,True,8.0,1.0,0.1904744803905487,5,4,True,327.4,1.0,0.8,1.0
grpo,7b,29,104,5,104.0,True,True,False,71.0,1.0,0.6863710880279541,5,5,True,531.0,1.0,1.0,0.0
grpo,7b,31,80,5,80.0,True,False,False,70.0,0.4,0.4969072937965393,5,5,True,472.6,0.5,0.6,0.0
grpo,7b,32,35,5,35.0,True,True,True,35.0,1.0,0.4646244645118713,4,5,True,379.4,1.0,0.8,1.0
grpo,7b,43,48,5,48.0,True,False,True,48.0,0.4,0.6065581440925598,5,5,True,574.0,0.0,0.5,1.0
grpo,7b,44,20,5,20.0,True,False,False,,1.0,0.1697907894849777,2,3,False,699.0,0.0,0.4,0.0
grpo,7b,48,8,5,8.0,True,True,True,8.0,1.0,0.3387801051139831,5,5,True,461.0,0.75,0.95,1.0
grpo,7b,49,30,5,30.0,True,True,True,30.0,1.0,0.1447545886039734,4,4,True,380.4,0.0,0.6,1.0
grpo,7b,51,5,5,5.0,True,True,True,5.0,1.0,0.7158849835395813,5,5,True,508.8,1.0,1.0,1.0
grpo,7b,58,57,5,57.0,True,True,True,57.0,0.75,0.8931784629821777,4,5,True,449.4,1.0,0.8,1.0
grpo,7b,63,1596,5,1596.0,True,False,False,,1.0,0.8858767747879028,4,5,False,678.6,0.0,0.8,0.0
grpo,7b,65,36,5,36.0,True,True,True,36.0,0.6,0.8252043128013611,5,5,True,473.8,1.0,0.7,1.0
grpo,7b,70,7425,5,7425.0,True,False,True,7425.0,0.5,0.7203971147537231,4,4,True,722.6,0.0,0.6,1.0
grpo,7b,76,5,5,5.0,True,False,False,,1.0,0.5556062459945679,2,2,False,714.2,0.0,0.4,0.0
grpo,7b,78,6,5,6.0,True,False,False,,1.0,0.0321804359555244,1,1,False,724.6,0.0,0.2,0.0
grpo,7b,81,17,5,17.0,True,True,False,7.0,1.0,0.72081458568573,5,5,True,522.6,1.0,1.0,0.25
grpo,7b,86,22,5,22.0,True,True,True,22.0,1.0,0.4731138050556183,5,5,True,417.0,1.0,1.0,1.0
grpo,7b,101,6,5,6.0,True,True,True,6.0,0.8,0.483170598745346,5,5,True,410.6,1.0,0.8,1.0
grpo,7b,113,25,5,25.0,True,True,True,25.0,0.8,0.7426331639289856,5,5,True,343.8,1.0,0.8500000000000001,1.0
grpo,7b,115,90,5,90.0,True,True,False,,1.0,0.582241952419281,1,1,False,664.6,1.0,0.2,0.0
grpo,7b,123,50,5,50.0,True,True,True,50.0,0.8,0.7674781084060669,5,5,True,627.2,1.0,0.8500000000000001,1.0
grpo,7b,128,880,5,880.0,True,False,False,,1.0,0.8566631078720093,2,3,False,620.0,0.0,0.4,0.0
grpo,7b,155,280,5,280.0,True,False,True,280.0,1.0,0.821995735168457,1,1,True,621.4,0.0,0.2,1.0
grpo,7b,175,15,5,12.5,False,False,True,15.0,0.3333333333333333,0.1251132786273956,3,3,True,636.4,0.25,0.25,0.25
grpo,7b,184,25,5,,False,False,False,,0.0,0.0,0,0,False,909.8,0.0,0.0,0.0
grpo,7b,192,91,5,91.0,True,True,True,91.0,1.0,0.1216986775398254,4,4,True,511.4,1.0,0.8,1.0
grpo,7b,196,120,5,120.0,True,False,True,120.0,0.8,0.3534879982471466,5,5,True,490.8,1.0,1.0,1.0
grpo,7b,208,76,5,76.0,True,True,True,76.0,1.0,0.8534864783287048,5,4,True,436.6,1.0,0.8,1.0
grpo,7b,210,10,5,10.0,True,False,False,,0.5,0.0207236725836992,2,3,False,733.2,0.0,0.25,0.0
grpo,7b,218,45,5,45.0,True,True,True,45.0,0.75,0.8839385509490967,4,4,True,533.6,1.0,0.7,1.0
grpo,7b,220,70,5,70.0,True,False,True,70.0,1.0,0.0471428111195564,3,4,True,522.4,0.0,0.6,1.0
grpo,7b,221,90,5,90.0,True,False,True,90.0,1.0,0.2486565560102462,4,5,True,616.6,0.0,0.8,1.0
grpo,7b,231,50,5,50.0,True,True,True,50.0,1.0,0.1892534494400024,5,5,True,358.4,1.0,1.0,1.0
grpo,7b,233,12,5,12.0,True,True,True,12.0,1.0,0.3639163672924042,3,3,True,343.2,1.0,0.6,1.0
grpo,7b,239,280,5,280.0,True,True,True,280.0,1.0,0.232397973537445,3,3,True,729.6,1.0,0.6,1.0
grpo,7b,240,21,5,21.0,True,True,True,21.0,1.0,0.3815744817256927,5,5,True,635.0,1.0,1.0,1.0
grpo,7b,243,250,5,250.0,True,True,True,250.0,0.6,0.5021920800209045,5,5,True,595.4,1.0,0.6,1.0
grpo,7b,247,32,5,32.0,True,True,True,32.0,1.0,0.6529412269592285,5,4,True,348.2,1.0,0.8,1.0
grpo,7b,254,84,5,84.0,True,True,True,84.0,1.0,0.662437379360199,5,5,True,432.2,1.0,1.0,1.0
grpo,7b,259,168,5,118.0,False,False,False,,0.3333333333333333,0.7980055212974548,3,3,False,582.8,0.0,0.25,0.0
grpo,7b,261,62,5,62.0,True,False,True,62.0,1.0,0.4536901414394378,4,4,True,372.2,0.0,0.8,1.0
grpo,7b,265,9500,5,9500.0,True,True,False,,1.0,0.1131469085812568,4,4,False,557.4,1.0,0.8,0.0
grpo,7b,270,762,5,762.0,True,False,True,762.0,1.0,0.8665971755981445,4,4,True,521.2,0.0,0.8,1.0
