method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
dpo,14b,23,8,5,8.0,True,True,True,8.0,1.0,0.0011953638168051,4,5,True,633.6,1.0,0.75,1.0
dpo,14b,29,104,5,104.0,True,True,True,104.0,1.0,0.4551399350166321,4,4,True,557.2,1.0,0.8,1.0
dpo,14b,31,80,5,80.0,True,True,True,80.0,1.0,0.081824392080307,4,5,True,671.2,1.0,0.75,1.0
dpo,14b,32,35,5,35.0,True,True,True,35.0,1.0,0.579431414604187,5,5,True,457.4,1.0,1.0,1.0
dpo,14b,43,48,5,48.0,True,False,True,48.0,1.0,0.1330696642398834,2,4,True,860.4,0.0,0.4,1.0
dpo,14b,44,20,5,20.0,True,True,False,,1.0,0.0829995945096015,3,3,False,690.8,1.0,0.6,0.0
dpo,14b,48,8,5,8.0,True,True,True,8.0,1.0,0.0187637414783239,4,4,True,471.6,1.0,0.8,1.0
dpo,14b,49,30,5,30.0,True,True,True,30.0,1.0,0.7351878881454468,5,4,True,654.8,1.0,0.8,1.0
dpo,14b,51,5,5,5.0,True,True,True,5.0,1.0,0.2969139814376831,5,5,True,603.2,1.0,1.0,1.0
dpo,14b,58,57,5,57.0,True,False,True,57.0,0.6666666666666666,0.9314435124397278,3,3,True,486.2,0.0,0.6,1.0
dpo,14b,63,1596,5,1596.0,True,False,True,1596.0,1.0,0.6946908831596375,3,4,True,762.4,0.0,0.6,1.0
dpo,14b,65,36,5,36.0,True,True,True,36.0,1.0,0.6347175240516663,4,4,True,623.8,1.0,0.8,1.0
dpo,14b,70,7425,5,7425.0,True,True,False,,0.6666666666666666,0.0041644582524895,3,3,False,857.2,1.0,0.6,0.0
dpo,14b,76,5,5,5.0,True,False,False,,1.0,0.6665009260177612,1,1,False,742.4,0.0,0.2,0.0
dpo,14b,78,6,5,6.0,True,False,False,,1.0,0.3515174388885498,2,2,False,798.4,0.0,0.35,0.0
dpo,14b,81,17,5,17.0,True,True,True,17.0,1.0,0.4983163774013519,5,5,True,557.2,1.0,0.95,1.0
dpo,14b,86,22,5,22.0,True,True,True,22.0,1.0,0.2869693338871002,4,5,True,726.0,1.0,0.8,1.0
dpo,14b,101,6,5,6.0,True,True,True,6.0,1.0,0.3353619873523712,5,4,True,680.8,1.0,0.75,1.0
dpo,14b,113,25,5,25.0,True,True,True,25.0,1.0,0.7212221026420593,5,5,True,347.2,1.0,1.0,1.0
dpo,14b,115,90,5,,False,False,False,,0.0,0.0,0,0,False,742.4,0.0,0.0,0.0
dpo,14b,123,50,5,50.0,True,False,False,,1.0,0.4036374092102051,2,3,False,769.8,0.0,0.4,0.0
dpo,14b,128,880,5,880.0,True,False,False,,1.0,0.6673828363418579,1,1,False,698.6,0.0,0.2,0.0
dpo,14b,155,280,5,280.0,True,False,False,,1.0,0.6412135362625122,1,1,False,673.2,0.0,0.2,0.0
dpo,14b,175,15,5,15.0,True,False,False,,1.0,0.366487056016922,1,1,False,812.0,0.0,0.2,0.0
dpo,14b,184,25,5,,False,False,False,,0.0,0.0,0,0,False,903.6,0.0,0.0,0.0
dpo,14b,192,91,5,91.0,True,True,True,91.0,1.0,0.1042395606637001,5,5,True,637.6,1.0,0.95,1.0
dpo,14b,196,120,5,120.0,True,True,True,120.0,1.0,0.0960864648222923,5,5,True,701.2,1.0,1.0,1.0
dpo,14b,208,76,5,76.0,True,True,True,76.0,1.0,0.4977419376373291,5,5,True,545.2,1.0,0.95,1.0
dpo,14b,210,10,5,,False,False,False,,0.0,0.0,0,0,False,796.6,0.0,0.0,0.0
dpo,14b,218,45,5,45.0,True,True,True,45.0,1.0,0.6479167342185974,2,3,True,740.2,1.0,0.4,1.0
dpo,14b,220,70,5,70.0,True,False,True,70.0,1.0,0.2053838819265365,4,4,True,791.0,0.0,0.8,1.0
dpo,14b,221,90,5,90.0,True,True,True,90.0,0.8,0.7611827254295349,5,5,True,589.6,1.0,0.95,1.0
dpo,14b,231,50,5,50.0,True,True,True,50.0,1.0,0.7233343720436096,5,5,True,514.4,1.0,1.0,1.0
dpo,14b,233,12,5,12.0,True,True,True,12.0,1.0,0.5438741445541382,4,4,True,655.6,1.0,0.8,1.0
dpo,14b,239,280,5,280.0,True,True,True,280.0,1.0,0.4816395938396454,4,4,True,706.8,0.75,0.75,1.0
dpo,14b,240,21,5,21.0,True,True,True,21.0,1.0,0.2273778468370437,5,5,True,623.6,1.0,1.0,1.0
dpo,14b,243,250,5,250.0,True,True,True,250.0,1.0,0.7292514443397522,4,4,True,762.0,1.0,0.8,1.0
dpo,14b,247,32,5,32.0,True,True,True,32.0,1.0,0.5969109535217285,5,4,True,589.6,1.0,0.75,1.0
