method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
grpo,3b,23,8,5,8.0,True,False,True,8.0,0.6666666666666666,0.6214199066162109,3,3,True,418.4,0.0,0.2,0.0
grpo,3b,29,104,5,104.0,True,True,False,80.0,1.0,0.5505713224411011,2,4,True,360.2,1.0,0.4,0.5
grpo,3b,31,80,5,100.0,False,False,False,93.33,0.5,0.0,2,3,True,574.0,0.0,0.0,0.0
grpo,3b,32,35,5,350.0,False,False,False,,0.5,0.7029159665107727,2,3,False,336.4,0.0,0.2,0.0
grpo,3b,43,48,5,0.8,False,False,False,,0.5,0.5369120240211487,4,4,False,519.4,0.25,0.35,0.0
grpo,3b,44,20,5,30.0,False,False,False,,0.3333333333333333,0.6468849778175354,3,5,False,517.2,0.0,0.09999999999999998,0.0
grpo,3b,48,8,5,8.0,True,False,False,,1.0,0.3235326409339905,2,4,False,267.0,0.0,0.2,0.0
grpo,3b,49,30,5,30.0,True,False,False,,1.0,0.8672540187835693,2,4,False,298.8,0.0,0.4,0.0
grpo,3b,51,5,5,8.0,False,False,True,5.0,1.0,0.0,1,2,True,335.4,0.0,0.0,1.0
grpo,3b,58,57,5,41.25,False,False,False,41.25,0.25,0.8049237728118896,4,5,True,405.6,0.0,0.25,0.0
grpo,3b,63,1596,5,1596.0,True,True,True,1596.0,0.75,0.8487125635147095,4,4,True,606.8,1.0,0.6,1.0
grpo,3b,65,36,5,18.0,False,False,True,36.0,1.0,0.94122713804245,1,4,True,402.4,0.0,0.0,0.0
grpo,3b,70,7425,5,1350.0,False,False,False,,1.0,0.4652899503707886,1,4,False,345.0,0.0,0.0,0.0
grpo,3b,76,5,5,,False,False,False,,0.0,0.0,0,4,False,648.4,0.0,0.0,0.0
grpo,3b,78,6,5,13.5,False,False,False,,1.0,0.3557764589786529,1,3,False,299.4,0.0,0.0,0.0
grpo,3b,81,17,5,17.0,True,True,False,,1.0,0.6196160316467285,2,5,False,486.4,1.0,0.4,0.0
grpo,3b,86,22,5,22.0,True,True,False,,1.0,0.7348130941390991,2,4,False,438.0,1.0,0.4,0.0
grpo,3b,101,6,5,6.0,True,False,False,,1.0,0.92592054605484,1,4,False,467.0,0.0,0.2,0.0
grpo,3b,113,25,5,150.0,False,False,False,,1.0,0.0,1,3,False,271.0,0.0,0.0,0.0
grpo,3b,115,90,5,90.0,True,False,False,,1.0,0.0,1,3,False,528.8,0.0,0.0,0.0
grpo,3b,123,50,5,,False,False,False,,0.0,0.0,0,0,False,177.0,0.0,0.0,0.0
