method,size,question_id,gold_answer,k,majority_answer,sc_correct,pass1_correct,greedy_correct,greedy_answer,consistency_ratio,nli_score,n_parseable,n_with_reasoning,greedy_parseable,mean_output_chars,judge_score_first,judge_score_mean,judge_score_greedy
dpo,7b,23,8,5,8.0,True,True,False,4.0,0.8,0.0013306754408404,5,5,True,700.0,1.0,0.8500000000000001,0.5
dpo,7b,29,104,5,104.0,True,True,True,104.0,1.0,0.6106526255607605,5,5,True,575.8,1.0,1.0,1.0
dpo,7b,31,80,5,80.0,True,False,True,80.0,1.0,0.0,1,1,True,682.8,0.0,0.0,1.0
dpo,7b,32,35,5,35.0,True,True,True,35.0,1.0,0.3677375018596649,5,5,True,589.8,1.0,1.0,1.0
dpo,7b,43,48,5,,False,False,False,,0.0,0.0,0,0,False,931.6,0.0,0.0,0.0
dpo,7b,44,20,5,20.0,True,True,False,,0.5,0.3722383379936218,2,2,False,804.6,1.0,0.2,0.0
dpo,7b,48,8,5,8.0,True,True,True,8.0,0.8,0.086769625544548,5,5,True,636.8,1.0,0.8999999999999999,1.0
dpo,7b,49,30,5,30.0,True,False,False,,0.6666666666666666,0.1204131096601486,3,5,False,894.4,0.0,0.5,0.0
dpo,7b,51,5,5,5.0,True,True,False,1.0,1.0,0.5311400294303894,3,3,True,888.2,1.0,0.4,0.25
dpo,7b,58,57,5,,False,False,True,57.0,0.0,0.0,0,2,True,699.4,0.0,0.0,1.0
dpo,7b,63,1596,5,140.0,False,False,False,6.0,1.0,0.1657250076532364,1,4,True,781.0,0.0,0.09999999999999998,0.25
dpo,7b,65,36,5,36.0,True,True,True,36.0,1.0,0.3428605794906616,5,4,True,646.2,0.0,0.8,1.0
dpo,7b,70,7425,5,7425.0,True,True,True,7425.0,0.5,0.5951133966445923,2,3,True,902.2,1.0,0.4,1.0
dpo,7b,76,5,5,185.0,False,False,False,,1.0,0.1147114485502243,1,1,False,831.6,0.25,0.04999999999999999,0.0
dpo,7b,78,6,5,,False,False,False,,0.0,0.0,0,2,False,851.0,0.0,0.0,0.0
dpo,7b,81,17,5,17.0,True,False,True,17.0,0.8,0.7537676692008972,5,5,True,634.6,0.5,0.8999999999999999,1.0
dpo,7b,86,22,5,22.0,True,True,True,22.0,1.0,0.5743670463562012,5,5,True,637.4,1.0,1.0,1.0
